author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296470579/,Москва,sale,flat,3,15,3,104.0,65200000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539749/,Москва,sale,flat,8,8,3,81.0,50000000,Арбат, Арбат,51С1,Смоленская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/295370167/,Москва,sale,flat,2,6,3,110.5,99000000,Пресненский,Малая Бронная ,32,Пушкинская,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006012/,Москва,sale,flat,8,8,3,81.0,50000000,Арбат, Арбат,51С1,Смоленская,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,116.8,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 85604823,unknown,https://www.cian.ru/sale/flat/299433436/,Москва,sale,flat,6,15,3,100.0,50000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
ID 413522,realtor,https://www.cian.ru/sale/flat/301735001/,Москва,sale,flat,5,21,3,116.78,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/279871964/,Москва,sale,flat,7,10,3,190.0,139000000,Басманный,Нижняя Красносельская ,35С50,Бауманская,TriBeCa APARTMENTS
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300567591/,Москва,sale,flat,4,5,3,83.4,34990000,Хамовники,Смоленский бульвар,17С1,Смоленская,
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301559691/,Москва,sale,flat,2,4,3,140.0,227351780,Мещанский,Рождественский бульвар,10/7С1,Трубная,
ID 1390606,real_estate_agent,https://www.cian.ru/sale/flat/299735585/,Москва,sale,flat,5,14,3,110.0,198800000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Правовой центр жилья,real_estate_agent,https://www.cian.ru/sale/flat/300525625/,Москва,sale,flat,6,11,3,70.6,34300000,Пресненский,Глубокий переулок,1/2,Краснопресненская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301124778/,Москва,sale,flat,11,11,3,150.0,200000000,Хамовники, Ефремова,10с1к4/1,Фрунзенская,Садовые кварталы
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680573/,Москва,sale,flat,3,15,3,99.9,160000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/299508883/,Москва,sale,flat,5,9,3,54.0,13300000,Ясенево,Новоясеневский проспект,21К1,Новоясеневская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/294106848/,Москва,sale,flat,4,6,3,145.0,167000000,Пресненский,Большой Гнездниковский переулок,3,Пушкинская,Респект
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/288962979/,Москва,sale,flat,4,6,3,143.7,167000000,Пресненский,Большой Гнездниковский переулок,3,Пушкинская,Респект
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/300818798/,Москва,sale,flat,2,20,3,75.0,29000000,Академический,Новочеремушкинская ,35,Профсоюзная,
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301913453/,Москва,sale,flat,9,14,3,100.5,145000000,Хамовники, Усачева,11А,Спортивная,Садовые кварталы
Евгения Климова,realtor,https://www.cian.ru/sale/flat/300617413/,Москва,sale,flat,7,10,3,140.0,76000000,Тверской,3-й Самотечный переулок,11к2,Достоевская,
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/301352993/,Москва,sale,flat,8,9,3,68.3,15500000,Ясенево,проезд Карамзина,1К1,Ясенево,
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/301354766/,Москва,sale,flat,5,14,3,151.0,174900000,Хамовники, Усачева,11А,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300733009/,Москва,sale,flat,12,12,3,243.0,350000000,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
ID 86550588,homeowner,https://www.cian.ru/sale/flat/301848672/,Москва,sale,flat,2,5,3,98.4,25800000,Южнопортовый,Южнопортовая ,18,Кожуховская,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/301903899/,Москва,sale,flat,5,15,3,150.0,175000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/299145698/,Москва,sale,flat,8,18,3,99.7,114000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
